NAMELSAD10,YEAR,POPULATION,POP_5YEAR,LAND_AREA,TOTAL_HU,SFD,SFA,MF_LOW,MF_MID,MF_HIGH,HOUSEHOLDS,HU_30UP,HU_LT30,VALUE_LOW,VALUE_MID,VALUE_HIGH,TOTAL_GFA,OFFICE_GFA,RETAIL_GFA,INDUST_GFA
Fort Belvoir CDP,2020,8549,8550,5699.8320,2135,2135,0,0,0,0,2102,1391,744,0,0,0,0,0,0,0
Centreville CDP,2020,76900,77156,7706.2490,25498,8156,12304,5038,0,0,25301,14313,11183,14149,7478,8,4458950,1006476,3093223,359251
Chantilly CDP,2020,24426,28491,7775.9550,7469,4933,1970,566,0,0,7441,4858,2118,3106,3332,125,29366043,11909900,6866234,10589909
Dunn Loring CDP,2020,9355,9431,1505.8480,3084,2684,400,0,0,0,3043,2234,845,10,2494,521,359177,330922,20336,7919
Fort Hunt CDP,2020,17082,17199,4009.0010,6165,6164,1,0,0,0,6125,5679,484,122,5461,564,243721,22342,217618,3761
Franconia CDP,2020,19633,19756,2226.3510,7540,1452,4151,1937,0,0,7462,4366,3171,4493,2295,26,4025722,1682633,722096,1620993
Great Falls CDP,2020,18162,18445,16420.0970,5414,5326,0,88,0,0,5398,3427,1972,8,2149,2989,776825,146495,508401,121929
Groveton CDP,2020,15510,15778,2819.0810,5948,2256,1286,2116,290,0,5803,5192,751,2049,1443,7,1708616,183009,1352366,173241
Huntington CDP,2020,13776,14551,720.3980,7423,514,1477,1645,360,3427,7223,5790,1633,3215,725,2,2148255,161966,1965211,21078
Hybla Valley CDP,2020,15619,14189,1316.8430,5989,1909,1150,2930,0,0,5852,4161,916,1650,695,9,2950143,175757,2679364,95022
Idylwood CDP,2020,17617,17801,1841.3560,6968,1987,1306,2444,0,1231,6895,6201,765,2253,2313,328,1818811,775391,861837,181583
West Falls Church CDP,2020,29160,29324,3221.1910,10741,6069,1299,3202,171,0,10564,9810,926,3153,4497,104,4538330,2492175,1866043,180112
Lake Barcroft CDP,2020,9429,9525,1703.1630,3720,2537,60,304,400,419,3583,3573,146,778,2062,398,568582,195587,372098,897
Lincolnia CDP,2020,23886,24182,3038.8580,8520,2875,2685,2816,144,0,8409,6544,1965,2758,2548,66,6036682,1477246,2154813,2404623
Lorton CDP,2020,20612,20966,3442.3240,6970,1945,2907,2118,0,0,6881,3545,3424,2956,1885,4,4178645,336612,900133,2941900
Newington CDP,2020,12919,12702,2940.8640,4466,1822,2544,100,0,0,4447,3898,567,2457,1799,9,9054037,848375,1056379,7149283
North Springfield CDP,2020,7139,7143,992.9020,2442,2030,0,412,0,0,2425,2396,46,991,1039,0,710737,0,0,710737
Pimmit Hills CDP,2020,6721,6819,946.3770,2322,1965,17,0,340,0,2273,1922,398,29,1599,346,499698,397894,101294,510
West Springfield CDP,2020,22607,22659,3089.3560,8229,3775,3297,1157,0,0,8171,7721,505,3811,4143,23,1455053,302897,674255,477901
Wolf Trap CDP,2020,16615,16820,6305.1860,5399,5391,8,0,0,0,5377,4161,1236,3,3545,1835,298925,7018,2887,289020
Oakton CDP,2020,37743,38579,6267.89,13907,4781,4069,5057,0,0,13688,9321,4577,3732,5832,1372,2664522,2146056,394878,123588
Reston CDP,2020,66292,71122,10021.1070,29808,5918,9845,8611,2217,3217,28939,20117,9686,12429,8574,608,26416802,20924247,4576736,915819
Springfield CDP,2020,32002,32352,5082.1670,10448,5703,1546,1800,1399,0,10320,6571,3871,4558,2699,53,15216633,2292783,8414550,4509300
Rose Hill CDP,2020,21150,22256,3565.4270,7463,5322,1144,997,0,0,7402,6476,986,3116,3367,69,712366,169603,423206,119557
